"Network","Rule_set","Distance_km","Rank","mean_degree","mean_betweenness","mean_closeness","mean_harmonic","mean_eigenvector"
"Rule_B_300km","Rule_B",300,1,1.31034482758621,0.00700602079912425,0.387091597147041,0.302921455938697,0.182557857444186
"Rule_B_300km","Rule_B",300,2,12.5,0.261507936507937,0.458255597014925,0.522453703703704,0.606262168238551
"Rule_B_300km","Rule_B",300,3,10.5,0.247222222222222,0.46265697290152,0.488194444444444,0.602349609195445
"Rule_B_300km","Rule_B",300,4,1.33333333333333,0,0.324047564513666,0.31712962962963,0.153892239064109
"Rule_B_300km","Rule_B",300,NA,0,0,NA,0,9.79491041807766e-20
"Rule_B_350km","Rule_B",350,1,1.58620689655172,0.00503557744937055,0.430056494947021,0.374425287356322,0.197584107803978
"Rule_B_350km","Rule_B",350,2,13.5,0.21494708994709,0.490866510538642,0.572916666666667,0.587251409366806
"Rule_B_350km","Rule_B",350,3,14.5,0.279497354497355,0.533872598584429,0.581712962962963,0.662927080094936
"Rule_B_350km","Rule_B",350,4,2,0.0037037037037037,0.375207630653175,0.383950617283951,0.194233821682199
"Rule_B_350km","Rule_B",350,NA,0,0,NA,0,0
"Rule_B_400km","Rule_B",400,1,1.79310344827586,0.00276314357160489,0.453459624079002,0.389128352490421,0.211857369656315
"Rule_B_400km","Rule_B",400,2,15.5,0.205062247121071,0.573073233130796,0.625,0.681579824303558
"Rule_B_400km","Rule_B",400,3,16,0.237503890445067,0.585858585858586,0.62037037037037,0.716648518298223
"Rule_B_400km","Rule_B",400,4,2.33333333333333,0.0115788537637277,0.424810352521196,0.414351851851852,0.232829260388005
"Rule_B_400km","Rule_B",400,NA,0,0,NA,0,0
"Rule_B_450km","Rule_B",450,1,2.13793103448276,0.000899790776638067,0.492443130233473,0.4132343550447,0.214279227229109
"Rule_B_450km","Rule_B",450,2,19,0.175943362193362,0.680851063829787,0.699074074074074,0.72455752367951
"Rule_B_450km","Rule_B",450,3,19,0.220962688105545,0.674856674856675,0.67824074074074,0.71196870557405
"Rule_B_450km","Rule_B",450,4,2.66666666666667,0.00235936462126938,0.477922077922078,0.452932098765432,0.243506413141278
"Rule_B_450km","Rule_B",450,NA,0,0,NA,0,1.62915685397471e-19
"Rule_B_500km","Rule_B",500,1,2.41379310344828,0.00149954861777522,0.486295350153197,0.469348659003831,0.223676159085251
"Rule_B_500km","Rule_B",500,2,21,0.16964096749811,0.701702127659575,0.756944444444444,0.74593470741347
"Rule_B_500km","Rule_B",500,3,21.5,0.275280010994297,0.686538461538462,0.743055555555555,0.715220290846217
"Rule_B_500km","Rule_B",500,4,3,0.00423429304381685,0.508849715099715,0.506172839506173,0.267213337115338
"Rule_B_500km","Rule_B",500,NA,0,0,NA,0,0
