"sites","Network","Rank","Degree","Betweenness","Closeness","Harmonic","Eigenvector","Rule_set","Distance_km","Allowed_connections"
"Pulo di Molfetta Fondo Azzolini","Rule_A_300km",1,2,0.0267379679144385,0.474576271186441,0.419117647058824,0.30653624027976,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Terragne","Rule_A_300km",1,1,0,0.314606741573034,0.311764705882353,0.109132470009876,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Coppa Nevigata","Rule_A_300km",1,2,0.0267379679144385,0.474576271186441,0.419117647058824,0.30653624027976,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Grotta San Michele Arcangelo I","Rule_A_300km",1,1,0,0.314606741573034,0.311764705882353,0.109132470009876,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Ripatetta","Rule_A_300km",1,2,0.0267379679144385,0.474576271186441,0.419117647058824,0.30653624027976,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Torre Sabea","Rule_A_300km",1,1,0,0.314606741573034,0.311764705882353,0.109132470009876,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Kargadur","Rule_A_300km",1,0,0,NA,0,1.89379743148068e-19,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Rio Tana","Rule_A_300km",1,2,0,0.411764705882353,0.387254901960784,0.31099398422622,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Scamuso I","Rule_A_300km",1,2,0.0267379679144385,0.474576271186441,0.419117647058824,0.30653624027976,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Arene Candide I","Rule_A_300km",1,2,0.0231729055258467,0.329411764705882,0.326960784313725,0.123191313386651,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Trasano","Rule_A_300km",1,2,0.0267379679144385,0.474576271186441,0.419117647058824,0.30653624027976,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Durdeva greda","Rule_A_300km",1,0,0,NA,0,1.89379743148068e-19,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Masseria Montevergine - Torre de Rubeis","Rule_A_300km",1,1,0,0.314606741573034,0.311764705882353,0.109132470009876,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Grotta Pollera","Rule_A_300km",1,1,0,0.32183908045977,0.30735294117647,0.113590213956335,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Grotta dei Cocci","Rule_A_300km",1,2,0,0.411764705882353,0.387254901960784,0.31099398422622,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Masseria Candelaro II","Rule_A_300km",1,1,0,0.383561643835616,0.355392156862745,0.197403770269884,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Le Secche","Rule_A_300km",2,9,0.186274509803922,0.466666666666667,0.495098039215686,0.57542069131222,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Basi I","Rule_A_300km",1,2,0.0231729055258467,0.329411764705882,0.326960784313725,0.123191313386651,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Trasanello I","Rule_A_300km",1,2,0.0267379679144385,0.474576271186441,0.419117647058824,0.30653624027976,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Palata 1","Rule_A_300km",1,2,0.0267379679144385,0.474576271186441,0.419117647058824,0.30653624027976,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Maddalena di Muccia","Rule_A_300km",1,2,0,0.411764705882353,0.387254901960784,0.31099398422622,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Villaggio Ortucchio","Rule_A_300km",1,2,0,0.411764705882353,0.387254901960784,0.31099398422622,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Colle Santo Stefano","Rule_A_300km",3,17,0.459001782531194,0.608695652173913,0.627450980392157,1,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Grotta Sant'Angelo I","Rule_A_300km",1,2,0,0.411764705882353,0.387254901960784,0.31099398422622,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Barice Smilcic","Rule_A_300km",1,1,0,0.383561643835616,0.355392156862745,0.197403770269884,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Renaghju","Rule_A_300km",2,2,0.00089126559714795,0.254545454545455,0.258333333333333,0.0486368594540476,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Monte Arci","Rule_A_300km",4,0,0,NA,0,1.89379743148068e-19,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Lipari","Rule_A_300km",4,0,0,NA,0,1.89379743148068e-19,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Palmarola","Rule_A_300km",4,1,0,0.383561643835616,0.355392156862745,0.197403770269884,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Piana di Curinga","Rule_A_350km",2,14,0.198752228163993,0.461538461538462,0.563725490196078,0.594910607256349,"Rule_A",350,"4-3, 3-2, 3-1, 2-1"
"Le Macchie (Ripagnola Polignano a mare)","Rule_A_350km",1,2,0.0103710905849943,0.483870967741935,0.450980392156863,0.279808133862988,"Rule_A",350,"4-3, 3-2, 3-1, 2-1"
"Susac Poje","Rule_A_350km",1,1,0,0.428571428571429,0.409313725490196,0.175438129629302,"Rule_A",350,"4-3, 3-2, 3-1, 2-1"
"Favella","Rule_A_350km",1,2,0.0103710905849943,0.483870967741935,0.450980392156863,0.279808133862988,"Rule_A",350,"4-3, 3-2, 3-1, 2-1"
"Peiro Signado","Rule_A_350km",1,0,0,NA,0,1.87125906178587e-19,"Rule_A",350,"4-3, 3-2, 3-1, 2-1"
"Pont de Roque-Haute","Rule_A_350km",1,0,0,NA,0,1.87125906178587e-19,"Rule_A",350,"4-3, 3-2, 3-1, 2-1"
"Pulo di Molfetta Fondo Azzolini","Rule_A_350km",1,2,0.0103710905849943,0.483870967741935,0.450980392156863,0.279808133862988,"Rule_A",350,"4-3, 3-2, 3-1, 2-1"
"Terragne","Rule_A_350km",1,1,0,0.319148936170213,0.334803921568627,0.104370004233686,"Rule_A",350,"4-3, 3-2, 3-1, 2-1"
"Coppa Nevigata","Rule_A_350km",1,2,0.0103710905849943,0.483870967741935,0.450980392156863,0.279808133862988,"Rule_A",350,"4-3, 3-2, 3-1, 2-1"
"Grotta San Michele Arcangelo I","Rule_A_350km",1,2,0.0103710905849943,0.483870967741935,0.450980392156863,0.279808133862988,"Rule_A",350,"4-3, 3-2, 3-1, 2-1"
"Ripatetta","Rule_A_350km",1,2,0.0103710905849943,0.483870967741935,0.450980392156863,0.279808133862988,"Rule_A",350,"4-3, 3-2, 3-1, 2-1"
"Torre Sabea","Rule_A_350km",1,1,0,0.319148936170213,0.334803921568627,0.104370004233686,"Rule_A",350,"4-3, 3-2, 3-1, 2-1"
"Kargadur","Rule_A_350km",1,1,0,0.428571428571429,0.409313725490196,0.175438129629302,"Rule_A",350,"4-3, 3-2, 3-1, 2-1"
