"ID","sites","Long","Lat","ID.1","blade","flake","core","by.products.waste","tot.no.ind","tot.with.ind","blade.PN","flake.PN","core.PN","by.products.waste.PN","Production_score","Rank","Cluster_raw","Cluster"
56,"Le Secche",10.882183,42.38172,42,74,52,2,40,168,174,1.89403634502176,0.859504132231405,0.784313725490196,2.11864406779661,5.65649827053997,2,2,2
57,"Fiorano Modenese",10.823464,44.544107,21,4,0,0,0,4,4,0.102380342974149,0,0,0,0.102380342974149,1,1,1
58,"Casa Querciolaia",10.361458,43.556578,11,16,6,0,2,24,24,0.409521371896596,0.0991735537190083,0,0.105932203389831,0.614627129005435,1,1,1
59,"Cala Giovanna",10.0938,42.58964,9,107,78,5,41,231,231,2.73867417455848,1.28925619834711,1.96078431372549,2.17161016949153,8.16032485612261,2,2,2
60,"La Scola",10.0833,42.58,84,102,131,3,46,282,295,2.6106987458408,2.16528925619835,1.17647058823529,2.4364406779661,8.38889926824054,2,2,2
61,"Strette",9.37738,42.68974,75,5,40,1,71,117,117,0.127975428717686,0.661157024793388,0.392156862745098,3.76059322033898,4.94188253659516,2,2,2
62,"Abri Albertini",8.9739,42.3313,1,1,0,0,0,1,1,0.0255950857435372,0,0,0,0.0255950857435372,1,1,1
63,"Renaghju",8.921266,41.526647,118,52,555,0,46,653,NA,1.33094445866394,9.17355371900826,0,2.4364406779661,12.9409388556383,2,2,2
64,"Basi I",8.79853,41.72871,8,6,3,1,16,26,26,0.153570514461223,0.0495867768595041,0.392156862745098,0.847457627118644,1.44277178118447,1,1,1
65,"Su Carroppu",8.559799,39.207134,100,48,31,5,0,84,NA,1.22856411568979,0.512396694214876,1.96078431372549,0,3.70174512363015,1,1,1
66,"Rio Saboccu",8.55253,39.688226,101,76,608,31,49,764,NA,1.94522651650883,10.0495867768595,12.156862745098,2.59533898305085,26.7470150215172,3,3,3
67,"Sa Punta",8.507104,39.720056,67,222,954,27,218,1421,NA,5.68210903506527,15.7685950413223,10.5882352941176,11.5466101694915,43.5855495399968,3,3,3
68,"Cuccuru is Arrius",8.502995,39.920392,68,29,1981,9,26,2045,NA,0.74225748656258,32.7438016528926,3.52941176470588,1.3771186440678,38.3925895482288,3,3,3
69,"Arene Candide II",8.32828,44.1623,120,13,8,0,0,21,NA,0.332736114665984,0.132231404958678,0,0,0.464967519624662,1,1,1
70,"Arene Candide I",8.32828,44.162304,3,21,10,2,2,35,35,0.537496800614282,0.165289256198347,0.784313725490196,0.105932203389831,1.59303198569266,1,1,1
71,"Grotta Pollera",8.314602,44.200546,28,8,0,0,0,8,8,0.204760685948298,0,0,0,0.204760685948298,1,1,1
72,"Grande Rivoire",5.6444,45.2217,24,1,0,0,0,1,1,0.0255950857435372,0,0,0,0.0255950857435372,1,1,1
73,"Pont de Roque-Haute",3.36003,43.2927,55,4,1,0,1,6,6,0.102380342974149,0.0165289256198347,0,0.0529661016949153,0.171875370288899,1,1,1
74,"Peiro Signado",3.32891,43.3083,52,6,6,0,4,16,16,0.153570514461223,0.0991735537190083,0,0.211864406779661,0.464608474959893,1,1,1
