"","Masseria Montevergine - Torre de Rubeis","Torre Sabea","Terragne","Sant'Anna di Oria","Le Macchie (Ripagnola Polignano a mare)","Spila Nakovana","Lokvica","Balsignano I","Balsignano II","Trasanello I","Trasanello II","Pulo di Molfetta Fondo Azzolini","Trasano","Susac Poje","Favella","Piana di Curinga","Scamuso I","Grotta San Michele Arcangelo I","Grotta San Michele Arcangelo II","Palata 1","Danilo-Bitinj","Pokrovnik","Umbro Bova Marina","Grotta Scaloria","Masseria Santa Tecchia","Masseria Candelaro II","Masseria Candelaro III","Krivače","Coppa Nevigata","Ex Palestra GIL","Durdeva greda","Barice Smilcic","Ripatetta","Masseria Acquasalsa","Rocchicella-Paliké","Marcianese","Villa Badessa (Cepegatti)","Colle Cera","Grotta dei Piccioni","Kargadur","Catignano","Rio Tana","Colle Santo Stefano","Grotta Sant'Angelo I","Grotta Sant'Angelo II","Villaggio Ortucchio","Portonovo","Grotta Continenza","Maddalena di Muccia","Piani di Calisti","Grotta dei Cocci","La Marmotta","La Lucciola","Fornace Cappuccini","Pienza","Savignano sul Panaro","Le Secche","Fiorano Modenese","Casa Querciolaia","Cala Giovanna","La Scola","Strette","Abri Albertini","Renaghju","Basi I","Su Carroppu","Rio Saboccu","Sa Punta","Arene Candide II","Arene Candide I","Grotta Pollera","Grande Rivoire","Pont de Roque-Haute","Peiro Signado","La Farigoule 2"
"Trasanello II",0.573286412861368,0.621582084914856,0.547896785999816,-31.3414765647097,0.833697087649365,0.351261760169638,0.548393502333739,0.647770009914272,0.468275567798938,0.644984846440716,1,0.620588652247011,0.669381040634422,0.536692121570809,0.630799884008172,-2.45103926980002,0.712709549348682,0.527940549297259,-0.712462081719098,0.536692121570809,-0.173611059616369,0.513417702753696,-13.3406313613379,0.447853104276616,0.573286412861368,0.704454693409055,0.684682643519086,0.561088315764515,0.536692121570809,0.571796263859599,0.536692121570809,0.536195405236886,0.59718589072115,0.632290033009941,0.629806451340326,0.682075854065198,0.584491077290375,-0.347378445979689,0.596192458053305,0.367034724798542,-17.2877585836551,0.677605407059892,-15.2496626687752,0.40005414855705,0.536692121570809,0.536692121570809,0.573286412861368,0.706968764592827,0.668884324300499,0.596689174387228,0.58548450995822,-26.311264802156,0.411258812986057,-2.78213337009742,0.58548450995822,0.536195405236886,-1.56828368456,0.573286412861368,0.709421856748284,-2.87964354484933,-3.18370385195229,-1.48504045481185,0.536692121570809,-5.65306139693647,-0.013272202427703,-0.460887781263844,-14.0657895067852,-23.8414226781092,0.776680332836484,0.299979977319692,0.622078801248779,0.536692121570809,0.556960887794701,0.555783268314268,0.322738138006119
"Pulo di Molfetta Fondo Azzolini",0.952697760614357,0.952201044280434,0.927308133752806,-31.7208879124627,0.786891564597645,0.730673107922628,0.927804850086728,0.455580754368163,0.683867584870907,0.975603805806294,0.620588652247011,1,0.951207611612588,0.916103469323798,0.916600185657721,-2.83045061755301,0.834690520317211,0.907351897050249,-1.09187342947209,0.916103469323798,-0.389203076688338,0.770848079538157,-13.7200427090909,0.754075869448488,0.952697760614357,0.535668199388806,0.562701672550557,0.940499663517504,0.916103469323798,0.951207611612588,0.916103469323798,0.915606752989875,0.97659723847414,0.98829861923707,0.868801229938155,0.915110036655953,0.963902425043364,-0.726789793732679,0.975603805806294,0.409866517178879,-17.6671699314081,0.625832720668943,-15.6290740165282,0.755069302116333,0.916103469323798,0.916103469323798,0.952697760614357,0.842418170408758,0.951704327946511,0.976100522140217,0.96489585771121,-26.690676149909,0.790670160739046,-3.16154471785041,0.96489585771121,0.915606752989875,-1.94769503231299,0.952697760614357,0.774662977986635,-3.25905489260232,-3.56311519970528,-1.62048986062778,0.916103469323798,-6.03247274468946,0.341742951131581,-0.840299129016834,-14.4452008545382,-24.2208340258622,0.843908319410527,0.271610052454603,0.928301566420651,0.916103469323798,0.936372235547691,0.840590137295971,0.702149485759108
"Trasano",0.903905372226945,0.952201044280434,0.878515745365394,-31.6720955240753,0.835683952985057,0.681880719535216,0.879012461699317,0.504373142755574,0.635075196483496,0.975603805806294,0.669381040634422,0.951207611612588,1,0.867311080936387,0.86780779727031,-2.78165822916559,0.7858981319298,0.858559508662837,-1.04308104108468,0.867311080936387,-0.340410688300926,0.819640467925569,-13.6712503207035,0.778472063642193,0.903905372226945,0.584460587776218,0.611494060937968,0.891707275130093,0.867311080936387,0.902415223225177,0.867311080936387,0.866814364602464,0.927804850086728,0.939506230849658,0.820008841550744,0.963902425043364,0.915110036655953,-0.677997405345267,0.926811417418883,0.45865890556629,-17.6183775430207,0.674625109056355,-15.5802816281408,0.730673107922628,0.867311080936387,0.867311080936387,0.903905372226945,0.89121055879617,0.976100522140217,0.927308133752806,0.916103469323798,-26.6418837615216,0.741877772351635,-3.11275232946299,0.916103469323798,0.866814364602464,-1.89890264392558,0.903905372226945,0.823455366374047,-3.21026250421491,-3.51432281131787,-1.66928224901519,0.867311080936387,-5.98368035630205,0.317346756937875,-0.791506740629422,-14.3964084661508,-24.1720416374748,0.892700707797938,0.320402440842015,0.952697760614357,0.867311080936387,0.887579847160279,0.816193943102266,0.653357097371697
"Susac Poje",0.963405708709441,0.915110036655953,0.964399141377287,-31.8047844431389,0.702995033921444,0.790173444405123,0.98829861923707,0.371684223691961,0.673159636775823,0.891707275130093,0.536692121570809,0.916103469323798,0.867311080936387,1,0.905892237562637,-2.91434714822921,0.823982572222127,0.896643948955164,-1.17576996014829,1,-0.473099607364539,0.686951548861955,-13.8039392397671,0.693582100298146,0.963405708709441,0.451771668712604,0.478805141874355,0.975603805806294,1,0.96489585771121,1,0.976100522140217,0.939506230849658,0.904402088560868,0.882489476036777,0.854616267505611,0.952201044280434,-0.81068632440888,0.940499663517504,0.325969986502677,-17.7510664620843,0.541936189992742,-15.7129705472044,0.741381056017712,1,1,0.963405708709441,0.805327162784277,0.86780779727031,0.940002947183581,0.951207611612588,-26.7745726805852,0.730176391588705,-3.24544124852661,0.951207611612588,0.976100522140217,-2.03159156298919,0.963405708709441,0.690766447310434,-3.34295142327852,-3.64701173038148,-1.70438639130398,1,-6.11636927536566,0.257846420455379,-0.924195659693035,-14.5290973852144,-24.3047305565384,0.760011788734325,0.187713521778402,0.91461332032203,1,0.923677422116915,0.75669360661977,0.76264325490945
"Favella",0.893694140465784,0.868801229938155,0.917096901991644,-31.7106766807015,0.797102796358807,0.720461876161466,0.917593618325567,0.465791986129324,0.767267399213186,0.892203991464015,0.630799884008172,0.916600185657721,0.86780779727031,0.905892237562637,1,-2.82023938579184,0.91809033465949,0.897140665289087,-1.08166219771093,0.905892237562637,-0.378991844927177,0.687448265195878,-13.7098314773298,0.670676055106209,0.893694140465784,0.545879431149968,0.572912904311718,0.905892237562637,0.905892237562637,0.940996379851427,0.905892237562637,0.905395521228714,0.893197424131861,0.928301566420651,0.952201044280434,0.831710222313674,0.929294999088497,-0.716578561971517,0.940996379851427,0.42007774894004,-17.6569586996469,0.636043952430105,-15.618862784767,0.671669487774055,0.905892237562637,0.905892237562637,0.893694140465784,0.759018356066479,0.891707275130093,0.917096901991644,0.881496043368931,-26.6804649181478,0.707270346396767,-3.15133348608924,0.881496043368931,0.905395521228714,-1.93748380055183,0.893694140465784,0.761471448221937,-3.24884366084116,-3.55290396794412,-1.61027862886662,0.905892237562637,-6.0222615129283,0.258343136789302,-0.830087897255672,-14.434989622777,-24.210622794101,0.854119551171688,0.281821284215765,0.844901752078372,0.905892237562637,0.877368615399118,0.827398607531273,0.691938253997947
"Piana di Curinga",-2.87775285693865,-2.82945718488516,-2.9031424838002,-27.8904372949097,-2.61734218215065,-2.70452059263433,-2.90264576746628,-2.28603137192117,-2.58750678500503,-2.8060544233593,-2.45103926980002,-2.83045061755301,-2.78165822916559,-2.91434714822921,-2.82023938579184,1,-2.73832972045133,-2.81099109718437,-2.27553742228438,-2.91434714822921,-1.63641709441431,-2.60129869709116,-9.88959209153792,-2.60792924852735,-2.87775285693865,-2.36611881694181,-2.39315229010356,-2.8899509540355,-2.91434714822921,-2.87924300594042,-2.91434714822921,-2.91484386456313,-2.85385337907887,-2.81874923679008,-2.82123281845969,-2.76896341573482,-2.86654819250964,-2.12830097995597,-2.85484681174671,-2.24031713473188,-13.8367193138551,-2.45628333822195,-11.7986233989752,-2.65572820424692,-2.91434714822921,-2.91434714822921,-2.87775285693865,-2.71967431101348,-2.78215494549952,-2.85435009541279,-2.8655547598418,-25.3826470570197,-2.64452353981791,-1.74282636810953,-2.8655547598418,-2.91484386456313,-0.687829993632305,-2.87775285693865,-2.60511359553964,-0.972058375727363,-0.0129336404482387,-1.33103699010908,-2.91434714822921,-6.24653727274343,-2.17219356868459,-1.95143868188421,-10.7268578603036,-20.3903834083092,-2.67435893696353,-2.10206067000761,-2.82896046855124,-2.91434714822921,-2.83802457034612,-2.67104075484898,-2.67699040313866
"Scamuso I",0.811784475125274,0.786891564597645,0.835187236651134,-31.628767015361,0.879012461699317,0.638552210820956,0.835683952985057,0.547701651469834,0.755566018450256,0.810294326123505,0.712709549348682,0.834690520317211,0.7858981319298,0.823982572222127,0.91809033465949,-2.73832972045133,1,0.815230999948577,-0.999752532370416,0.823982572222127,-0.297082179586666,0.605538599855368,-13.6279218119893,0.588766389765699,0.811784475125274,0.627789096490478,0.654822569652228,0.823982572222127,0.823982572222127,0.859086714510917,0.823982572222127,0.823485855888204,0.811287758791351,0.846391901080141,0.917096901991644,0.749800556973164,0.847385333747987,-0.634668896631007,0.859086714510917,0.36157084512539,-17.5750490343064,0.647745333193035,-15.5369531194265,0.589759822433544,0.823982572222127,0.823982572222127,0.811784475125274,0.677108690725969,0.809797609789582,0.835187236651134,0.799586378028421,-26.5985552528073,0.625360681056257,-3.06942382074873,0.799586378028421,0.823485855888204,-1.85557413521132,0.811784475125274,0.679561782881426,-3.16693399550065,-3.47099430260361,-1.52836896352611,0.823982572222127,-5.94035184758779,0.176433471448792,-0.748178231915162,-14.3530799574365,-24.1287131287605,0.795612647357038,0.270119903452835,0.762992086737862,0.823982572222127,0.795458950058607,0.745488942190763,0.610028588657437
"Grotta San Michele Arcangelo I",0.884445851858311,0.859552941330683,0.907848613384171,-31.7014283920941,0.694243461647894,0.711213587553993,0.908345329718094,0.362932651418411,0.664408064502273,0.882955702856543,0.527940549297259,0.907351897050249,0.858559508662837,0.896643948955164,0.897140665289087,-2.81099109718437,0.815230999948577,1,-1.07241390910345,0.896643948955164,-0.369743556319704,0.790307599906791,-13.7005831887223,0.661427766498736,0.884445851858311,0.55512771975744,0.526107381259998,0.896643948955164,0.896643948955164,0.931748091243954,0.896643948955164,0.896147232621241,0.883949135524388,0.895650516287319,0.849341709569521,0.822461933706201,0.920046710481024,-0.707330273364045,0.931748091243954,0.429326037547513,-17.6477104110394,0.533184617719192,-15.6096144961595,0.662421199166582,0.896643948955164,0.896643948955164,0.884445851858311,0.749770067459007,0.85905622499676,0.907848613384171,0.872247754761458,-26.6712166295404,0.698022057789295,-3.14208519748177,0.872247754761458,0.896147232621241,-1.92823551194436,0.884445851858311,0.794122498355269,-3.23959537223368,-3.54365567933664,-1.60103034025915,0.896643948955164,-6.12512084763921,0.361202471500215,-0.932947231966585,-14.4257413341695,-24.2013745054936,0.751260216460775,0.291069572823238,0.8356534634709,0.896643948955164,0.924174138450838,0.860049657664606,0.738743777049667
"Grotta San Michele Arcangelo II",-1.13917566885773,-1.09087999680424,-1.16456529571928,-29.6290144829906,-0.878764994069733,-0.965943404553412,-1.16406857938536,-0.54745418384025,-0.848929596924112,-1.06747723527838,-0.712462081719098,-1.09187342947209,-1.04308104108468,-1.17576996014829,-1.08166219771093,-2.27553742228438,-0.999752532370416,-1.07241390910345,1,-1.17576996014829,-0.153981081438989,-1.08693675564702,-11.6281692796188,-0.869352060446435,-1.13917566885773,-0.627541628860893,-0.654575102022644,-1.15137376595458,-1.17576996014829,-1.1406658178595,-1.17576996014829,-1.17626667648221,-1.11527619099795,-1.08017204870916,-1.08265563037877,-1.0303862276539,-1.12797100442872,0.41070111762382,-1.11626962366579,-0.838062816606123,-15.575296501936,-0.717706150141031,-13.5372005870561,-0.917151016166001,-1.17576996014829,-1.17576996014829,-1.13917566885773,-0.981097122932566,-1.0435777574186,-1.11577290733187,-1.12697757176088,-24.5988027204369,-0.905946351736994,-1.46492820537437,-1.12697757176088,-1.17626667648221,-0.587707428652077,-1.13917566885773,-0.866536407458723,-1.16718146313023,-1.5200341586206,-2.33909657332861,-1.17576996014829,-6.11182287060056,-1.21836974383237,-0.437345051443396,-13.0364208624899,-22.1289605963901,-0.935781748882614,-0.363483481926691,-1.09038328047032,-1.17576996014829,-1.0994473822652,-1.04457119008644,-0.938413215057739
"Palata 1",0.963405708709441,0.915110036655953,0.964399141377287,-31.8047844431389,0.702995033921444,0.790173444405123,0.98829861923707,0.371684223691961,0.673159636775823,0.891707275130093,0.536692121570809,0.916103469323798,0.867311080936387,1,0.905892237562637,-2.91434714822921,0.823982572222127,0.896643948955164,-1.17576996014829,1,-0.473099607364539,0.686951548861955,-13.8039392397671,0.693582100298146,0.963405708709441,0.451771668712604,0.478805141874355,0.975603805806294,1,0.96489585771121,1,0.976100522140217,0.939506230849658,0.904402088560868,0.882489476036777,0.854616267505611,0.952201044280434,-0.81068632440888,0.940499663517504,0.325969986502677,-17.7510664620843,0.541936189992742,-15.7129705472044,0.741381056017712,1,1,0.963405708709441,0.805327162784277,0.86780779727031,0.940002947183581,0.951207611612588,-26.7745726805852,0.730176391588705,-3.24544124852661,0.951207611612588,0.976100522140217,-2.03159156298919,0.963405708709441,0.690766447310434,-3.34295142327852,-3.64701173038148,-1.70438639130398,1,-6.11636927536566,0.257846420455379,-0.924195659693035,-14.5290973852144,-24.3047305565384,0.760011788734325,0.187713521778402,0.91461332032203,1,0.923677422116915,0.75669360661977,0.76264325490945
